"","V1","V2","V3","V4","V5","V6"
"330","MID","APXMIDP",20180110,2,45.47,412.5
"430","MID","APXMIDP",20180110,3,45.04,502.65
"59","MID","APXMIDP",20180110,4,44.22,583
"69","MID","APXMIDP",20180110,5,44.53,516.65
"79","MID","APXMIDP",20180110,6,44.36,482.5
"89","MID","APXMIDP",20180110,7,43.06,377.7
"99","MID","APXMIDP",20180110,8,42.2,356.45
"109","MID","APXMIDP",20180110,9,42,403.5
"119","MID","APXMIDP",20180110,10,44.19,400
"129","MID","APXMIDP",20180110,11,43.97,252.6
"139","MID","APXMIDP",20180110,12,44.75,487.7
"149","MID","APXMIDP",20180110,13,49.13,712.6
"159","MID","APXMIDP",20180110,14,47.28,998
"169","MID","APXMIDP",20180110,15,51.35,1163.5
"179","MID","APXMIDP",20180110,16,57.02,804.3
"189","MID","APXMIDP",20180110,17,61.73,660.95
"199","MID","APXMIDP",20180110,18,55.47,965.4
"209","MID","APXMIDP",20180110,19,54.14,795.95
"2113","MID","APXMIDP",20180110,20,54.59,699.5
"2211","MID","APXMIDP",20180110,21,53.13,762.5
"239","MID","APXMIDP",20180110,22,52.54,832.35
"249","MID","APXMIDP",20180110,23,48.2,1204.95
"259","MID","APXMIDP",20180110,24,48.63,1075.95
"269","MID","APXMIDP",20180110,25,48.61,1168.45
"279","MID","APXMIDP",20180110,26,48.77,1162.5
"289","MID","APXMIDP",20180110,27,49.7,1285.85
"299","MID","APXMIDP",20180110,28,49.3,1286.65
"309","MID","APXMIDP",20180110,29,48.9,1287.05
"3113","MID","APXMIDP",20180110,30,48.77,1305.15
"3211","MID","APXMIDP",20180110,31,61.3,958.7
"339","MID","APXMIDP",20180110,32,63.69,909.75
"349","MID","APXMIDP",20180110,33,61.2,1002.3
"359","MID","APXMIDP",20180110,34,67.99,892.65
"369","MID","APXMIDP",20180110,35,71.25,1153.1
"379","MID","APXMIDP",20180110,36,69.99,1125.7
"389","MID","APXMIDP",20180110,37,68.28,1293.85
"399","MID","APXMIDP",20180110,38,68.74,1288.15
"409","MID","APXMIDP",20180110,39,55.7,1147.5
"4113","MID","APXMIDP",20180110,40,53.09,1221.05
"4211","MID","APXMIDP",20180110,41,54.27,1315.6
"439","MID","APXMIDP",20180110,42,53.56,1205.05
"449","MID","APXMIDP",20180110,43,49.25,1372.6
